Country;Other names;ISO 3166-1 alpha-3 CODE;Population;Total Cases;Total Deaths;Tot Cases//1M pop;Tot Deaths/1M pop;Death percentage
Afghanistan;Afghanistan;AFG;40462186;177827;7671;4395;190;4.313.743.132
Albania;Albania;ALB;2872296;273870;3492;95349;1216;1.275.057.509
Algeria;Algeria;DZA;45236699;265691;6874;5873;152;2.587.215.976
Andorra;Andorra;AND;77481;40024;153;516565;1975;0.382270638
Angola;Angola;AGO;34654212;99194;1900;2862;55;1.915.438.434
Anguilla;Anguilla;AIA;15237;2700;9;177200;591;0.333333333
Antigua and Barbuda;Antigua and Barbuda;ATG;99348;7493;135;75422;1359;1.801.681.569
Argentina;Argentina;ARG;45921761;9041124;128065;196881;2789;1.416.472.111
Armenia;Armenia;ARM;2972939;422574;8617;142140;2898;2.039.169.471
Aruba;Aruba;ABW;107560;34051;212;316577;1971;0.622595518
Australia;Australia;AUS;26017767;4680816;6384;179908;245;0.136386476
Austria;Austria;AUT;9096360;3887355;15985;427353;1757;0.411205048
Azerbaijan;Azerbaijan;AZE;10299156;792061;9697;76905;942;1.224.274.393
Bahamas;Bahamas;BHM;399822;33295;788;83275;1971;236.672.173
Bahrain;Bahrain;BHR;1804995;556241;1471;308168;815;0.264453717
Bangladesh;Bangladesh;BGD;167561502;1951770;29122;11648;174;1.492.081.546
Barbados;Barbados;BRB;287991;59938;375;208125;1302;0.625646501
Belarus;Belarus;BLR;9443882;965322;6844;102217;725;0.708986224
Belgium;Belgium;BEL;11677924;3851048;30826;329772;2640;0.800457434
Belize;Belize;BLZ;410260;57289;656;139641;1599;114.507.148
Benin;Benin;BEN;12678649;26952;163;2126;13;0.604778866
Bermuda;Bermuda;BMU;61875;12564;128;203055;2069;1.018.783.827
Bhutan;Bhutan;BTN;786480;31437;12;39972;15;0.038171581
Bolivia;Bolivia (Plurinational State of);BOL;11951714;902448;21896;75508;1832;2.426.289.382
Bosnia and Herzegovina;Bosnia and Herzegovina;BIH;3245097;375693;15719;115773;4844;4.184.001.299
Botswana;Botswana;BWA;2434708;305526;2686;125488;1103;0.879139582
Brazil;Brazil;BRA;215204501;29999816;660269;139401;3068;2.200.910.166
British Virgin Islands;British Virgin Islands;VGB;30583;6155;62;201256;2027;1.007.311.129
Brunei ;Brunei Darussalam;BRN;444812;135974;213;305689;479;0.156647594
Bulgaria;Bulgaria;BGR;6856886;1140679;36568;166355;5333;3.205.809.873
Burkina Faso;Burkina Faso;BFA;21905848;20853;382;952;17;1.831.870.714
Burundi;Burundi;BDI;12510155;38519;38;3079;3;0.098652613
Cabo Verde;Cabo Verde;CPV;566557;55960;401;98772;708;0.716583274
Cambodia;Cambodia;KHM;17123941;135747;3054;7927;178;2.249.773.476
Cameroon;Cameroon;CMR;27701805;119544;1927;4315;70;1.611.958.777
Canada;Canada;CAN;38321435;3499226;37690;91312;984;1.077.095.335
CAR;Central African Republic;CAF;4976719;14649;113;2944;23;0.771383712
Caribbean Netherlands;Bonaire, Sint Eustatius and Saba;BES;26650;8574;33;321726;1238;0.384884535
Cayman Islands;Cayman Islands;CYM;67073;20606;24;307218;358;0.116470931
Chad;Chad;TCD;17250246;7308;191;424;11;2.613.574.165
Channel Islands;Guernsey;GGY;176668;69036;156;390767;883;0.22596906
