nama_prov,value_prov,variable_kab,nama_kab,value_kab,kab
ACEH,11,R102,SIMEULUE,1101,01
ACEH,11,R102,"ACEH SINGKIL",1102,02
ACEH,11,R102,"ACEH SELATAN",1103,03
ACEH,11,R102,"ACEH TENGGARA",1104,04
ACEH,11,R102,"ACEH TIMUR",1105,05
ACEH,11,R102,"ACEH TENGAH",1106,06
ACEH,11,R102,"ACEH BARAT",1107,07
ACEH,11,R102,"ACEH BESAR",1108,08
ACEH,11,R102,PIDIE,1109,09
ACEH,11,R102,BIREUEN,1110,10
ACEH,11,R102,"ACEH UTARA",1111,11
ACEH,11,R102,"ACEH BARAT DAYA",1112,12
ACEH,11,R102,"GAYO LUES",1113,13
ACEH,11,R102,"ACEH TAMIANG",1114,14
ACEH,11,R102,"NAGAN RAYA",1115,15
ACEH,11,R102,"ACEH JAYA",1116,16
ACEH,11,R102,"BENER MERIAH",1117,17
ACEH,11,R102,"PIDIE JAYA",1118,18
ACEH,11,R102,"BANDA ACEH",1171,71
ACEH,11,R102,SABANG,1172,72
ACEH,11,R102,LANGSA,1173,73
ACEH,11,R102,LHOKSEUMAWE,1174,74
ACEH,11,R102,SUBULUSSALAM,1175,75
"SUMATERA UTARA",12,R102,NIAS,1201,01
"SUMATERA UTARA",12,R102,"MANDAILING NATAL",1202,02
"SUMATERA UTARA",12,R102,"TAPANULI SELATAN",1203,03
"SUMATERA UTARA",12,R102,"TAPANULI TENGAH",1204,04
"SUMATERA UTARA",12,R102,"TAPANULI UTARA",1205,05
"SUMATERA UTARA",12,R102,"TOBA SAMOSIR",1206,06
"SUMATERA UTARA",12,R102,"LABUHAN BATU",1207,07
"SUMATERA UTARA",12,R102,ASAHAN,1208,08
"SUMATERA UTARA",12,R102,SIMALUNGUN,1209,09
"SUMATERA UTARA",12,R102,DAIRI,1210,10
"SUMATERA UTARA",12,R102,KARO,1211,11
"SUMATERA UTARA",12,R102,"DELI SERDANG",1212,12
"SUMATERA UTARA",12,R102,LANGKAT,1213,13
"SUMATERA UTARA",12,R102,"NIAS SELATAN",1214,14
"SUMATERA UTARA",12,R102,"HUMBANG HASUNDUTAN",1215,15
"SUMATERA UTARA",12,R102,"PAKPAK BHARAT",1216,16
"SUMATERA UTARA",12,R102,SAMOSIR,1217,17
"SUMATERA UTARA",12,R102,"SERDANG BEDAGAI",1218,18
"SUMATERA UTARA",12,R102,"BATU BARA",1219,19
